Epoch 148 : (Loss: 0.7486317445660428, Correctness: 0.6351791530944625) 
Epoch 149 : (Loss: 0.693846185447603, Correctness: 0.6221498371335505) 
Epoch 150 : (Loss: 0.7485935640324994, Correctness: 0.6351791530944625) 
Epoch 151 : (Loss: 0.6938152155465184, Correctness: 0.6205211726384365) 
Epoch 152 : (Loss: 0.7485562228681255, Correctness: 0.6351791530944625) 
Epoch 153 : (Loss: 0.693784917689016, Correctness: 0.6205211726384365) 
Epoch 154 : (Loss: 0.7485196789920985, Correctness: 0.6351791530944625) 
Epoch 155 : (Loss: 0.6937552584082083, Correctness: 0.6221498371335505) 
Epoch 156 : (Loss: 0.748483893148364, Correctness: 0.6351791530944625) 
Epoch 157 : (Loss: 0.6937262064736252, Correctness: 0.6221498371335505) 
Epoch 158 : (Loss: 0.7484488286822637, Correctness: 0.6351791530944625) 
Epoch 159 : (Loss: 0.6936977327147452, Correctness: 0.6221498371335505) 
Epoch 160 : (Loss: 0.7484144513364779, Correctness: 0.6351791530944625) 
Epoch 161 : (Loss: 0.693669809859819, Correctness: 0.6237785016286646) 
Epoch 162 : (Loss: 0.7483807290645674, Correctness: 0.6351791530944625) 
Epoch 163 : (Loss: 0.6936424123885483, Correctness: 0.6237785016286646) 
Epoch 164 : (Loss: 0.7483476318604695, Correctness: 0.6351791530944625) 
Epoch 165 : (Loss: 0.693615516397389, Correctness: 0.6237785016286646) 
Epoch 166 : (Loss: 0.74831513160252, Correctness: 0.6351791530944625) 
Epoch 167 : (Loss: 0.6935890994763027, Correctness: 0.6237785016286646) 
Epoch 168 : (Loss: 0.7482832019106798, Correctness: 0.6351791530944625) 
Epoch 169 : (Loss: 0.6935631405959424, Correctness: 0.6237785016286646) 
Epoch 170 : (Loss: 0.7482518180157829, Correctness: 0.6351791530944625) 
Epoch 171 : (Loss: 0.6935376200043162, Correctness: 0.6237785016286646) 
Epoch 172 : (Loss: 0.748220956639731, Correctness: 0.6351791530944625) 
Epoch 173 : (Loss: 0.6935125191321005, Correctness: 0.6237785016286646) 
Epoch 174 : (Loss: 0.7481905958856386, Correctness: 0.6351791530944625) 
Epoch 175 : (Loss: 0.6934878205058074, Correctness: 0.6237785016286646) 
Epoch 176 : (Loss: 0.748160715137083, Correctness: 0.6351791530944625) 
Epoch 177 : (Loss: 0.6934635076681234, Correctness: 0.6237785016286646) 
Epoch 178 : (Loss: 0.7481312949656154, Correctness: 0.6351791530944625) 
Epoch 179 : (Loss: 0.6934395651047855, Correctness: 0.6221498371335505) 
Epoch 180 : (Loss: 0.7481023170458265, Correctness: 0.6351791530944625) 
Epoch 181 : (Loss: 0.6934159781774183, Correctness: 0.6221498371335505) 
Epoch 182 : (Loss: 0.7480737640773186, Correctness: 0.6351791530944625) 
Epoch 183 : (Loss: 0.693392733061809, Correctness: 0.6221498371335505) 
Epoch 184 : (Loss: 0.7480456197129373, Correctness: 0.6351791530944625) 
Epoch 185 : (Loss: 0.6933698166911403, Correctness: 0.6221498371335505) 
Epoch 186 : (Loss: 0.7480178684927844, Correctness: 0.6351791530944625) 
Epoch 187 : (Loss: 0.6933472167037683, Correctness: 0.6221498371335505) 
Epoch 188 : (Loss: 0.7479904957834385, Correctness: 0.6351791530944625) 
Epoch 189 : (Loss: 0.6933249213951378, Correctness: 0.6221498371335505) 
Epoch 190 : (Loss: 0.7479634877220075, Correctness: 0.6351791530944625) 
Epoch 191 : (Loss: 0.6933029196734809, Correctness: 0.6221498371335505) 
Epoch 192 : (Loss: 0.7479368311645488, Correctness: 0.6351791530944625) 
Epoch 193 : (Loss: 0.6932812010189897, Correctness: 0.6254071661237784) 
Epoch 194 : (Loss: 0.7479105136385003, Correctness: 0.6351791530944625) 
Epoch 195 : (Loss: 0.6932597554461478, Correctness: 0.6254071661237784) 
Epoch 196 : (Loss: 0.7478845232988054, Correctness: 0.6351791530944625) 
Epoch 197 : (Loss: 0.693238573468966, Correctness: 0.6254071661237784) 
Epoch 198 : (Loss: 0.7478588488873735, Correctness: 0.6351791530944625) 
Epoch 199 : (Loss: 0.6932176460688771, Correctness: 0.6254071661237784) 
Epoch 200 : (Loss: 0.7478334796956446, Correctness: 0.6351791530944625) 
Epoch 201 : (Loss: 0.6931969646650632, Correctness: 0.6254071661237784) 
Epoch 202 : (Loss: 0.7478084055299627, Correctness: 0.6351791530944625) 
Epoch 203 : (Loss: 0.693176521087007, Correctness: 0.6270358306188925) 
Epoch 204 : (Loss: 0.7477836166795523, Correctness: 0.6351791530944625) 
Epoch 205 : (Loss: 0.6931563075491066, Correctness: 0.6270358306188925) 
Epoch 206 : (Loss: 0.7477591038868587, Correctness: 0.6351791530944625) 
Epoch 207 : (Loss: 0.6931363166271433, Correctness: 0.6270358306188925) 
Epoch 208 : (Loss: 0.7477348583200746, Correctness: 0.6351791530944625) 
Epoch 209 : (Loss: 0.6931165412364975, Correctness: 0.6270358306188925) 
Epoch 210 : (Loss: 0.7477108715476714, Correctness: 0.6351791530944625) 
Epoch 211 : (Loss: 0.693096974611931, Correctness: 0.6270358306188925) 
Epoch 212 : (Loss: 0.7476871355147635, Correctness: 0.6351791530944625) 
Epoch 213 : (Loss: 0.6930776102888306, Correctness: 0.6270358306188925) 
Epoch 214 : (Loss: 0.7476636425211737, Correctness: 0.6351791530944625) 
Epoch 215 : (Loss: 0.693058442085785, Correctness: 0.6270358306188925) 
Epoch 216 : (Loss: 0.7476403852010399, Correctness: 0.6351791530944625) 
Epoch 217 : (Loss: 0.6930394640883998, Correctness: 0.6286644951140065) 
Epoch 218 : (Loss: 0.7476173565038693, Correctness: 0.6351791530944625) 
Epoch 219 : (Loss: 0.6930206706342315, Correctness: 0.6270358306188925) 
Epoch 220 : (Loss: 0.7475945496768962, Correctness: 0.6351791530944625) 
Epoch 221 : (Loss: 0.6930020562987786, Correctness: 0.6270358306188925) 
Epoch 222 : (Loss: 0.7475719582486617, Correctness: 0.6351791530944625) 
Epoch 223 : (Loss: 0.6929836158824263, Correctness: 0.6270358306188925) 
Epoch 224 : (Loss: 0.7475495760137089, Correctness: 0.6351791530944625) 
Epoch 225 : (Loss: 0.6929653443982686, Correctness: 0.6254071661237784) 
Epoch 226 : (Loss: 0.7475273970183125, Correctness: 0.6351791530944625) 
Epoch 227 : (Loss: 0.6929472370607653, Correctness: 0.6254071661237784) 
Epoch 228 : (Loss: 0.7475054155471541, Correctness: 0.6351791530944625) 
Epoch 229 : (Loss: 0.6929292892751371, Correctness: 0.6254071661237784) 
Epoch 230 : (Loss: 0.747483626110887, Correctness: 0.6351791530944625) 
Epoch 231 : (Loss: 0.6929114966274629, Correctness: 0.6254071661237784) 
Epoch 232 : (Loss: 0.7474620234344974, Correctness: 0.6351791530944625) 
Epoch 233 : (Loss: 0.6928938548754241, Correctness: 0.6254071661237784) 
Epoch 234 : (Loss: 0.7474406024464292, Correctness: 0.6351791530944625) 
Epoch 235 : (Loss: 0.6928763599396321, Correctness: 0.6237785016286646) 
Epoch 236 : (Loss: 0.7474193582684016, Correctness: 0.6351791530944625) 
Epoch 237 : (Loss: 0.6928590078955199, Correctness: 0.6237785016286646) 
Epoch 238 : (Loss: 0.7473982862058555, Correctness: 0.6351791530944625) 
Epoch 239 : (Loss: 0.6928417949657311, Correctness: 0.6237785016286646) 
Epoch 240 : (Loss: 0.7473773817390159, Correctness: 0.6351791530944625) 
Epoch 241 : (Loss: 0.6928247175129896, Correctness: 0.6237785016286646) 
Epoch 242 : (Loss: 0.7473566405144869, Correctness: 0.6351791530944625) 
Epoch 243 : (Loss: 0.692807772033398, Correctness: 0.6237785016286646) 
Epoch 244 : (Loss: 0.7473360583373635, Correctness: 0.6351791530944625) 
Epoch 245 : (Loss: 0.6927909551501509, Correctness: 0.6237785016286646) 
Epoch 246 : (Loss: 0.7473156311638228, Correctness: 0.6351791530944625) 
Epoch 247 : (Loss: 0.6927742636076145, Correctness: 0.6237785016286646) 
Epoch 248 : (Loss: 0.7472953550941516, Correctness: 0.6351791530944625) 
Epoch 249 : (Loss: 0.692757694265765, Correctness: 0.6237785016286646) 
Epoch 250 : (Loss: 0.7472752263661774, Correctness: 0.6351791530944625) 
Epoch 251 : (Loss: 0.6927412440949453, Correctness: 0.6237785016286646) 
Epoch 252 : (Loss: 0.7472552413490848, Correctness: 0.6351791530944625) 
Epoch 253 : (Loss: 0.6927249101709262, Correctness: 0.6237785016286646) 
Epoch 254 : (Loss: 0.7472353965375936, Correctness: 0.6351791530944625) 
Epoch 255 : (Loss: 0.6927086896702479, Correctness: 0.6237785016286646) 
Epoch 256 : (Loss: 0.7472156885464466, Correctness: 0.6351791530944625) 
Epoch 257 : (Loss: 0.6926925798658243, Correctness: 0.6237785016286646) 
Epoch 258 : (Loss: 0.7471961141052257, Correctness: 0.6351791530944625) 
Epoch 259 : (Loss: 0.6926765781227888, Correctness: 0.6237785016286646) 
Epoch 260 : (Loss: 0.7471766700534314, Correctness: 0.6351791530944625) 
Epoch 261 : (Loss: 0.6926606818945764, Correctness: 0.6221498371335505) 
Epoch 262 : (Loss: 0.7471573533358501, Correctness: 0.6351791530944625) 
Epoch 263 : (Loss: 0.6926448887191975, Correctness: 0.6221498371335505) 
Epoch 264 : (Loss: 0.7471381609981642, Correctness: 0.6351791530944625) 
Epoch 265 : (Loss: 0.6926291962157399, Correctness: 0.6221498371335505) 
Epoch 266 : (Loss: 0.747119090182781, Correctness: 0.6351791530944625) 
Epoch 267 : (Loss: 0.6926136020810248, Correctness: 0.6221498371335505) 
Epoch 268 : (Loss: 0.7471001381249011, Correctness: 0.6351791530944625) 
Epoch 269 : (Loss: 0.692598104086458, Correctness: 0.6221498371335505) 
Epoch 270 : (Loss: 0.7470813021487714, Correctness: 0.6351791530944625) 
Epoch 271 : (Loss: 0.6925827000750397, Correctness: 0.6205211726384365) 
Epoch 272 : (Loss: 0.7470625796641419, Correctness: 0.6351791530944625) 
Epoch 273 : (Loss: 0.6925673879585144, Correctness: 0.6205211726384365) 
Epoch 274 : (Loss: 0.7470439681628983, Correctness: 0.6351791530944625) 
Epoch 275 : (Loss: 0.6925521657146758, Correctness: 0.6205211726384365) 
Epoch 276 : (Loss: 0.7470254652158506, Correctness: 0.6351791530944625) 
Epoch 277 : (Loss: 0.6925370313848015, Correctness: 0.6205211726384365) 
Epoch 278 : (Loss: 0.747007068469698, Correctness: 0.6351791530944625) 
Epoch 279 : (Loss: 0.6925219830712102, Correctness: 0.6205211726384365) 
Epoch 280 : (Loss: 0.7469887756441251, Correctness: 0.6351791530944625) 
Epoch 281 : (Loss: 0.692507018934943, Correctness: 0.6188925081433225) 
Epoch 282 : (Loss: 0.7469705845290473, Correctness: 0.6351791530944625) 
Epoch 283 : (Loss: 0.6924921371935432, Correctness: 0.6188925081433225) 
Epoch 284 : (Loss: 0.7469524929819783, Correctness: 0.6351791530944625) 
Epoch 285 : (Loss: 0.6924773361189558, Correctness: 0.6188925081433225) 
Epoch 286 : (Loss: 0.7469344989255298, Correctness: 0.6351791530944625) 
Epoch 287 : (Loss: 0.6924626140355146, Correctness: 0.6188925081433225) 
Epoch 288 : (Loss: 0.746916600345014, Correctness: 0.6351791530944625) 
Epoch 289 : (Loss: 0.6924479693180269, Correctness: 0.6188925081433225) 
Epoch 290 : (Loss: 0.746898795286173, Correctness: 0.6351791530944625) 
Epoch 291 : (Loss: 0.6924334003899338, Correctness: 0.6188925081433225) 
Epoch 292 : (Loss: 0.7468810818529877, Correctness: 0.6351791530944625) 
Epoch 293 : (Loss: 0.6924189057215768, Correctness: 0.6188925081433225) 
Epoch 294 : (Loss: 0.7468634582056095, Correctness: 0.6351791530944625) 
Epoch 295 : (Loss: 0.6924044838285149, Correctness: 0.6188925081433225) 
Epoch 296 : (Loss: 0.7468459225583616, Correctness: 0.6351791530944625) 
Epoch 297 : (Loss: 0.6923901332699315, Correctness: 0.6188925081433225) 
Epoch 298 : (Loss: 0.7468284731778384, Correctness: 0.6351791530944625) 
Epoch 299 : (Loss: 0.6923758526471014, Correctness: 0.6188925081433225) 
Epoch 300 : (Loss: 0.7468111083810869, Correctness: 0.6351791530944625) 
Epoch 301 : (Loss: 0.6923616406019383, Correctness: 0.6188925081433225) 
Epoch 302 : (Loss: 0.7467938265338614, Correctness: 0.6351791530944625) 
Epoch 303 : (Loss: 0.6923474958155851, Correctness: 0.6188925081433225) 
Epoch 304 : (Loss: 0.7467766260489485, Correctness: 0.6351791530944625) 
Epoch 305 : (Loss: 0.6923334170070696, Correctness: 0.6188925081433225) 
Epoch 306 : (Loss: 0.7467595053845756, Correctness: 0.6351791530944625) 
Epoch 307 : (Loss: 0.6923194029320271, Correctness: 0.6188925081433225) 
Epoch 308 : (Loss: 0.7467424630428686, Correctness: 0.6351791530944625) 
Epoch 309 : (Loss: 0.6923054523814612, Correctness: 0.6188925081433225) 
Epoch 310 : (Loss: 0.7467254975683824, Correctness: 0.6351791530944625) 
Epoch 311 : (Loss: 0.6922915641805604, Correctness: 0.6188925081433225) 
Epoch 312 : (Loss: 0.7467086075466899, Correctness: 0.6351791530944625) 
Epoch 313 : (Loss: 0.6922777371875671, Correctness: 0.6188925081433225) 
Epoch 314 : (Loss: 0.7466917916030228, Correctness: 0.6351791530944625) 
Epoch 315 : (Loss: 0.6922639702926778, Correctness: 0.6188925081433225) 
Epoch 316 : (Loss: 0.7466750484009717, Correctness: 0.6351791530944625) 
Epoch 317 : (Loss: 0.6922502624170039, Correctness: 0.6188925081433225) 
Epoch 318 : (Loss: 0.7466583766412326, Correctness: 0.6351791530944625) 
Epoch 319 : (Loss: 0.6922366125115644, Correctness: 0.6188925081433225) 
Epoch 320 : (Loss: 0.746641775060403, Correctness: 0.6351791530944625) 
Epoch 321 : (Loss: 0.6922230195563133, Correctness: 0.6188925081433225) 
Epoch 322 : (Loss: 0.7466252424298301, Correctness: 0.6351791530944625) 
Epoch 323 : (Loss: 0.6922094825592109, Correctness: 0.6172638436482085) 
